TITLE,ARTIST
Opus,Eric Prydz
Ray of Solar,Swedish House Mafia
Animals,Martin Garrix
Strobe,deadmau5
"Clarity","Zedd ft. Foxes"
"Titanium","David Guetta ft. Sia"
Levels,Avicii
Greyhound,Swedish House Mafia
"Calling (Lose My Mind)","Sebastian Ingrosso & Alesso ft. Ryan Tedder"
"Scary Monsters and Nice Sprites",Skrillex
Reload,"Sebastian Ingrosso ft. Tommy Trash & John Martin"
"Don't You Worry Child","Swedish House Mafia"
I Remember,"deadmau5 & Kaskade"
"Ladi Dadi (Tommy Trash Remix)","Steve Aoki ft. Wynter Gordon"
Mammoth,"Dimitri Vegas, MOGUAI & Like Mike"
Save the World,Swedish House Mafia
Turn It Around,DubVision
"Burn","Ellie Goulding (Tiesto Remix)"
"Pressure (Alesso Remix)","Nadia Ali, Starkillers & Alex Kenji"
Tremor,"Dimitri Vegas & Like Mike vs. Martin Garrix"
Spaceman,Hardwell
"Years","Alesso ft. Matthew Koma"
"Runaway (U & I)",Galantis
"Gold Skies","Sander Van Doorn, Martin Garrix, DVBBS ft. Aleesia"
Summer,Calvin Harris
"The Night Out (A-Trak Remix)",Martin Solveig
Easy,"Mat Zo & Porter Robinson"
Five Hours,Deorro
"Sweet Nothing","Calvin Harris ft. Florence Welch"
Language,Porter Robinson
Intense,"Armin van Buuren ft. Miri Ben-Ari"
"Cinema (Skrillex Remix)","Benny Benassi ft. Gary Go"
"In My Mind (Axwell Mix)","Ivan Gough & Feenixpawl ft. Georgi Kay"
Sun Is Shining,"Axwell /\ Ingrosso"
Like Home,"Nicky Romero & NERVO"
"The Only Way Is Up","Martin Garrix & TiÃ«sto"
"Pompeii (Audien Remix)",Bastille
Alive,Krewella
"Adagio For Strings",Tiesto
Legacy,"Nicky Romero & Krewella"
"Ghosts 'n' Stuff","deadmau5 ft. Rob Swire"
Wake Me Up,Avicii
Red Lights,Tiesto
Last Chance,"Kaskade & Project 46"
Rattle,Bingo Players
Secrets,"Tiesto & KSHMR ft. Vassy"
Apollo,"Hardwell ft. Amba Shepherd"
"Take Over Control","Afrojack ft. Eva Simons"
Bangarang,"Skrillex ft. Sirah"
"Find You","Zedd ft. Matthew Koma & Miriam Bryant"
